row_id,dataset_name,citation_role,citation_title,authors_or_maintainers,year,venue_or_platform,url,doi_or_identifier,also_in_papers,report_context
D011,Horti-M3-Tomato,dataset descriptor paper used as dataset citation,A Three-Year Multimodal Holistic Dataset For Horticultural Tomato Cultivation,Y. Gong et al.,2026,Scientific Data,https://www.nature.com/articles/s41597-026-07074-w,10.1038/s41597-026-07074-w,yes,Ranked dataset #5; cited for three-year multimodal greenhouse tomato data.
D012,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes,dataset descriptor paper used as dataset citation,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes Captured by High-Throughput Phenotyping Platform,A. Galba et al.,2025,Scientific Data,https://www.nature.com/articles/s41597-025-06049-7,10.1038/s41597-025-06049-7,yes,Ranked dataset #6; cited for 3D point-cloud organ-level labels.
D013,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes,dataset repository,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes Captured by High-Throughput Phenotyping Platform,3D legume dataset authors / Figshare,2025,Figshare,https://figshare.com/articles/dataset/Annotated_3D_Point_Cloud_Dataset_of_Broad-Leaf_Legumes_Captured_by_High-Throughput_Phenotyping_Platform/28270742,Figshare item 28270742,no,Dataset repository cited for scans and data volume.
D014,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes,official code / dataset companion repository,kit-pef-czu-cz/3d-point-cloud-dataset-plants,Dataset authors,2025,GitHub,https://github.com/kit-pef-czu-cz/3d-point-cloud-dataset-plants,,no,Official companion repository cited with the 3D legumes dataset.
D015,BAWSeg,dataset paper used as dataset citation,BAWSeg: A UAV Multispectral Benchmark for Barley Weed Segmentation,H. Wang et al.,2026,Remote Sensing,https://www.mdpi.com/2072-4292/18/6/915,10.3390/rs18060915,yes,Ranked dataset #7; cited for multispectral barley weed benchmark and split design.
D016,BAWSeg,preprint record used as dataset citation,BAWSeg: A UAV Multispectral Benchmark for Barley Weed Segmentation,H. Wang et al.,2026,arXiv,https://arxiv.org/abs/2603.01932,arXiv:2603.01932,yes,Preprint/source cited alongside the published BAWSeg paper.
D017,BAWSeg,institutional paper record used as dataset citation,BAWSeg: A UAV Multispectral Benchmark for Barley Weed Segmentation,BAWSeg authors / University of Western Australia repository,2026,UWA Research Repository,https://research-repository.uwa.edu.au/en/publications/bawseg-a-uav-multispectral-benchmark-for-barley-weed-segmentation/,,yes,Institutional record cited for the BAWSeg paper/release status.
D018,SoyCotton,dataset descriptor paper used as dataset citation,A Leaf-Level Dataset for Soybean-Cotton Detection and Segmentation,T. H. Segreto et al.,2026,Scientific Data,https://www.nature.com/articles/s41597-026-07092-8,10.1038/s41597-026-07092-8,yes,Ranked dataset #8; cited for leaf-level instance masks and COCO annotations.
D019,SoyCotton,dataset repository / preprint data item,SoyCotton-Leafs,SoyCotton authors / Figshare,2025/2026,Figshare,https://figshare.com/articles/preprint/SoyCotton-Leafs/28466636,Figshare item 28466636,no,Data repository cited for SoyCotton leaf images and instances.
D020,SoyCotton,official repository,Segretto/SoyCotton-Data,SoyCotton authors,2026,GitHub,https://github.com/Segretto/SoyCotton-Data,,no,Official repository cited for data/code availability.
D021,TomatoWUR,dataset paper / bibliographic citation used as dataset citation,TomatoWUR: An annotated dataset of tomato plants to quantitatively compare 3D computer vision methods,B. M. van Marrewijk et al.,2025,PubMed / Data in Brief record,https://pubmed.ncbi.nlm.nih.gov/40718147/,PubMed: 40718147,yes,"Ranked dataset #9; cited for 3D tomato point clouds, skeletons, and trait labels."
D022,TomatoWUR,official repository,WUR-ABE/TomatoWUR,WUR-ABE,2025,GitHub,https://github.com/WUR-ABE/TomatoWUR,,no,Official dataset/tools repository cited for TomatoWUR.
D023,WeedsGalore,dataset paper used as dataset citation,WeedsGalore: A Multispectral and Multitemporal UAV-Based Dataset for Crop and Weed Segmentation in Agricultural Maize Fields,E. Celikkan et al.,2025,WACV / CVF Open Access,https://openaccess.thecvf.com/content/WACV2025/papers/Celikkan_WeedsGalore_A_Multispectral_and_Multitemporal_UAV-Based_Dataset_for_Crop_and_WACV_2025_paper.pdf,,yes,Ranked dataset #10; cited for multispectral/multitemporal crop-weed segmentation.
D024,WeedsGalore,paper record used as dataset citation,WeedsGalore: A Multispectral and Multitemporal UAV-Based Dataset for Crop and Weed Segmentation in Agricultural Maize Fields,E. Celikkan et al.,2025,IEEE Xplore,https://ieeexplore.ieee.org/document/10944142/,IEEE document 10944142,yes,Bibliographic/publisher record cited for uptake/citation signal.
D025,WeedsGalore,official repository / dataset links,GFZ/weedsgalore,GFZ / WeedsGalore authors,2025,GitHub,https://github.com/GFZ/weedsgalore,,no,Official repository cited for code/data links and license.
D026,PlantSeg,dataset descriptor paper used as dataset citation,A Large-Scale In-the-wild Dataset for Plant Disease Segmentation,T. Wei et al.,2026,Scientific Data,https://www.nature.com/articles/s41597-025-06513-4,10.1038/s41597-025-06513-4,yes,Comparator dataset; cited for in-the-wild plant disease segmentation.
D027,MFWD,dataset descriptor paper used as dataset citation,Manually annotated and curated Dataset of diverse Weed species in different growth stages,N. Genze et al.,2024,Scientific Data,https://www.nature.com/articles/s41597-024-02945-6,10.1038/s41597-024-02945-6,yes,Comparator dataset; cited for temporal weed tracking and multi-task learning.
D028,TomatoPGT ecosystem,paper / dataset ecosystem citation,TomatoPGT-related paper source cited in the report,TomatoPGT authors,2025/2026,Europe PMC,https://europepmc.org/articles/pmc13000484?pdf=render,PMC13000484,yes,Cited in the 3D plant-structure benchmark gap discussion as a newer TomatoPGT ecosystem source.
