audit_id,claim_id,reviewer,reviewed_at,status,sampled_pdfs,notes
AUDIT_20260811202532328655,DSO-011,USER,2026-08-11 20:25:32,verified,data\raw\fulltext\doi_10.1186_s13007-025-01334-3\25e6a64e5ad4bdb1\source.pdf,"License VERIFIED: DATA INRAE record doi:10.57745/AMFJTK (visited 2026-08-11) - Etalab Open License 2.0 (SPDX etalab-2.0, CC-BY-2.0 compatible), public per-file download (15 files, ID-01..ID-10 trial zips 5.7-34.0 GB + xlsx/readme), no login/restricted files. Annotation reconciliation: NO contradiction - 1,216 labelled pot time-lapses = sequences (Table 2: 336+480+400); >700k = annotated pot frames within those sequences (Table 4 split: 972+122+122 = 1,216 time-lapses containing 608,089+76,870+77,147 = 762,106 pot frames each with per-pot growth-stage label). Claim elements confirmed: top-ranked batch-7 intro 20.5/25 (rank 10 overall), 3 crops, RGB-depth time-lapse, 11 trials 2022, pot-level 80/10/10 (paper line 58), depth-modality + temporal domain-shift (lines 60, 78). REGISTRY CORRECTION REQUIRED: license cell 'not specified (DATA INRAE...)' -> etalab-2.0 (open, CC-BY-2.0-compatible), public per-file download."
AUDIT_20260811203021426234,DSO-012,USER,2026-08-11 20:30:21,verified,data\raw\fulltext\doi_10.34133_plantphenomics.0080\59f16e202122df41\source.pdf,"Request-only data availability CONFIRMED: Data Availability section (paper.md lines 160-162) + Data Availability Statement (lines 168-170) state 'The data are freely available upon reasonable request.' No public data URL/DOI in the paper. Data license: none stated - matches registry 'not specified (available on request)'. Code repository public and live: https://github.com/jieyi-one/EFF-3DPSEG (verified 2026-08-11, 11 stars/2 forks/3 commits, contains lib/, models/, pointnet2/, train.py, pheno4d.sh, README.md) but NO LICENSE file (code public, license-unstated). Claim elements confirmed: top-ranked batch-7 3D point-cloud dataset (19.0/25, rank 20; only genuine point-cloud dataset among batch-7 siblings), temporal 3D point clouds (258 point clouds, 30 plants, May 6-27 2022, MVSP2 photogrammetry), point-wise stem/leaf + leaf-instance labels (145/258 annotated), feasibility 2.5/5 consistent. No registry changes needed."
AUDIT_20260811204242277184,DSO-013,USER,2026-08-11 20:42:42,superseded,data\raw\fulltext\doi_10.1109_iros47612.2022.9981304\83cfe9ce05996d3b\source.pdf,"SUPERSEDED as written, but feasibility concern survives with corrected reason. Paper-level claim ACCURATE: IROS 2022 paper text (paper.md lines 38, 105) says 'Release a new dataset... CN20' / 'a new publicly available corn dataset', no URL or DOI in the PDF. Availability now VERIFIABLE: AgRobotics page (agrobotics.uni-bonn.de/corn_2020_dataset/index.html) live HTTP 200 (2026-08-11) linking to https://uni-bonn.sciebo.de/s/HpUV7A1KofVop9u, but that sciebo share 404s today; Wayback CDX shows one successful capture 2024-04-20 rendering 'Download CN20.tar.gz (23.5 GB)' (share functional Apr 2024, since taken down/expired). PhenoRoam record 10f2b8b0-bb8a-4b1c-864c-060a5462dcb7 exists but is metadata-only (DATA: Not available). No license terms anywhere (project page, sciebo, PhenoRoam all silent). Verdict: 'unverifiable' no longer holds (located + was functional), so claim superseded; but feasibility 2.5/5 remains defensible with corrected rationale (primary download link stale as of 2026-08-11; no license) rather than 'unverifiable'."
AUDIT_20260811204641765685,DSO-014,USER,2026-08-11 20:46:41,superseded,data\raw\fulltext\doi_10.1016_j.compag.2022.107091\9da8e09e8e2eef42\source.pdf,"SUPERSEDED as written - license IS stated. Paper-level registry claim accurate: paper text (paper.md lines 26, 58, 60) gives 5,187 images / 15 classes / 2020-2021 seasons / public via Kaggle (kaggle.com/yuzhenlu/cottonweedid15) + code (github.com/Derekabc/CottonWeeds), but never mentions a license. Independent Kaggle API verification (2026-08-11): GET kaggle.com/api/v1/datasets/view/yuzhenlu/cottonweedid15 (302->200) returns licenseName 'Attribution-NonCommercial 4.0 International (CC BY-NC 4.0)'; owner YL2021, id 1634991, ~11.35 GB, 1,946 downloads; description confirms 5,187 RGB images 15 weeds 2020-2021 and links the paper DOI + Derekabc/CottonWeeds. Central assertion 'no stated license' is FALSE - record carries CC BY-NC 4.0 (non-commercial restriction). Defined reuse pathway, not an unstated one; 'reuse-pathway risk' framing in score note now outdated. Registry correction: license not specified (public on Kaggle) -> CC-BY-NC-4.0. Score note to be rewritten to reflect CC BY-NC 4.0 (non-commercial) restricts reuse. Feasibility 4.5/5 unchanged."
AUDIT_20260811205214797052,DSO-015,USER,2026-08-11 20:52:14,verified,data\raw\fulltext\doi_10.3389_fpls.2020.00751\330841a67d1726f3\source.pdf,"Data Availability Statement CONFIRMED: paper (paper.md lines 158-160 and duplicate 178-180) 'The datasets generated for this study are available on request to the corresponding author.' Registry 'not specified (available on request)' accurate. No email/contact stated in the PDF - no @ matches; corresponding author identified only via the Frontiers page/affiliation, so the on-request pathway requires going through the journal page. Dataset figures all match: 4,449 original images (line 44), 14x augmentation (line 54) to 62,286 (lines 104/154); 4 disease classes (line 44); lab + Wei Jiani Chateau vineyard (lines 42, 132); 3:1:1 split (line 104); 81.1% mAP @ 15.01 FPS (lines 16/112/122); expert-annotated rectangular bboxes consistent with Faster R-CNN detection framing. Third-party Roboflow derivative (412 images, 2025-03-25, unclear provenance/license, not by GLDD authors) does not constitute an official public release; request-only status stands. All claim components verified: request-only access, 4,449->62,286 with 14x augmentation, expert boxes, low opportunity (13.0/25, feasibility 2.0). No registry changes needed."
AUDIT_20260811210101328482,DT-005,USER,2026-08-11 21:01:01,superseded,,"SUPERSEDED as current-state claim (accurate as of its 2026-08-03 writing date; rank-184 recovery changes the count). Verified in full_text_decisions.csv: 7 include unchanged (139 FI01 FTE_56b8, 149 FI01;FI02 FTE_c282, 150 FI01 FTE_4e5e, 155 FS01 FTE_de00, 212 FI01 FTE_4dfc, 268 FI02 FTE_ee62, 334 FI01 FTE_b00b). Rank 184 TomatoMAP recovered: original FU1 FTS_b5e2c2ba51e32e54f383 superseded by include_core FI01 FTS_639cf9461904678ed830 (extraction FTE_779656a9f17c774ecc9e, reviewed 2026-08-08T13:13:43Z) from user-supplied PDF. Remaining 12 ranks confirmed active FU1 with empty extraction and no supersession rows: 52, 62, 78, 103, 105, 106, 109, 114, 117, 145, 188, 278. Batch-7 unresolved is now 12, not 13. 7-include list and lawful-acquisition-failure finding stand. Superseding entry appended to ledger."
AUDIT_20260811214039230608,MGA-009,USER,2026-08-11 21:40:39,superseded,,"SUPERSEDED - 94-paper universe is stale. Independent re-computation on outputs/method_gap_matrix.csv (2026-08-11): 194 rows, 0 empty cells in all 6 gap-dimension columns (only QA/metadata cols empty, not gap dims). Re-verified counts: calibration no 193/194 (99.5%); same_sensor 132/194 (68.0%); code not_available 111/194 (57.2%); >=4 gaps (5-dim GAP_DIMENSIONS) 157/194 (80.9%). Full distributions match: split random 74, unclear 106, grouped 14; baseline sota_only 86, none 62, strong_simple 35, unclear 11; cross_sensor same 132, cross_dataset 25, cross_sensor 6, both 1, unclear 30; code not_available 111, public 47, not_applicable 36; calibration no 193, yes 1. MGA-009 was correct for the retired 94-paper basis (2026-08-03); MGA-010 (190) already superseded it; live matrix now 194 after 4 recovered IEEE papers (ranks 23 RPD, 26 AgriSeg, 32, 40 - 3 core + 1 supporting, FTS_... supersession rows dated 2026-08-11). Superseding entry for 194-paper basis appended to ledger."
AUDIT_20260811214500630115,MGA-010,USER,2026-08-11 21:45:00,superseded,,"SUPERSEDED - 190-paper basis retired. Independent re-computation on live matrix (2026-08-11): outputs/method_gap_matrix.csv = 194 rows, 0 empty cells in all 6 gap-dimension columns. Re-verified counts match MGA-011 exactly: calibration no 193/194 (99.5%); same_sensor 132/194 (68.0%); code not_available 111/194 (57.2%); >=4 gaps (5-dim GAP_DIMENSIONS) 157/194 (80.9%); split random/unclear 180/194 (92.8%). MGA-010 was correct for its 190-paper universe (2026-08-08), but the live basis is now 194 papers after the 4 recovered IEEE papers (ranks 23 RPD, 26 AgriSeg, 32, 40; 3 core + 1 supporting). Superseded by MGA-011 (194-paper basis, AUDIT_20260811214039230608), which documents identical figures. No re-computation needed. MGA supersession chain closed at current basis: MGA-008 -> MGA-009 -> MGA-010 -> MGA-011."
AUDIT_20260811214930407636,DSO-016,USER,2026-08-11 21:49:30,verified,data\raw\fulltext\doi_10.31274_td-20260223-107\127c32b1cf4cceac\source.pdf,"SUPPORTED with license correction. Verified in paper.md (FTP_20260807T190440Z/doi_10.31274_td-20260223-107): 1,045 TLS point clouds (lines 37, 112; Faro Focus S350 line 143); 520 organ-segmented plants (lines 37, 199); procedural NURBS models (line 199 via Hadadi et al. [38]); HELIOS PAR simulation validation r=0.83, MAE=0.058 (line 289; Table 2 lines 307-309); public on HF BGLab/MaizeField3D + subsampled 100k/50k/10k (Data availability lines 321-325; access lines 108-127; subsampling lines 112, 225). NO published learning baseline: pure dataset article (Intro/Dataset description/Data annotation/Data downsampling/Potential applications incl. 5.1 HELIOS demo/Conclusions); zero ML train/eval metrics; HELIOS demo is physics-based simulation, not a learned baseline; lines 263-277 describe potential applications prospectively. KEY CORRECTION: HF record license = CC-BY-NC-4.0 (verified 2026-08-11), registry said 'not specified'; score note 'license unspecified is the main caveat' now wrong - actual caveat is non-commercial reuse. Notes: HF card title is 'AgriField3D' (arXiv 2503.07813), registry DOI is institutional DataShare record - not a contradiction, but confirm no separate prior publication of the same data under another name (affects 'newly introduced' framing); NC license has publication implications requiring a judgment call."
AUDIT_20260811215433379299,DSO-017,USER,2026-08-11 21:54:33,verified,data\raw\fulltext\doi_10.3390_rs12081246\d9dbc997f619e0da\source.pdf,"SUPPORTED with license correction. Verified in paper.md (FTP_20260807T173121Z/doi_10.3390_rs12081246): 7,590 images (lines 36, 60); 47 species (lines 36, 60); 315,038 boxes (line 60 '315,038 plant objects'); 64,292 temporally tracked plants (line 60; temporal tracking with unique IDs + IoU/Hungarian matching lines 118-120); three growth conditions ideal/drought/natural (line 60). Public access confirmed (gitlab.au.dk/AUENG-Vision/OPPD download link). Shallow two-baseline prior work confirmed: Section 4 Baseline Experiments (line 161) has exactly two experiments - plant instance detection Faster R-CNN/ResNet50-v1 (line 191, AP 37.01+/-2.43 line 197) and species classification ResNet50-v1 (line 209, Acc 77.06+/-5.71 line 215); both explicitly out-of-the-box (lines 163, 228), no method comparisons, no ablations. Below MuST-C consistent: MuST-C 24.5 vs OPPD 21.5; OPPD underuse 3.5 vs MuST-C 5.0. KEY CORRECTION: registry license 'not specified' -> CC-BY-NC-SA-4.0 (project-page badge verified 2026-08-11). Resolution note consistent (~6.6 px/mm linear ~43.6 px/mm2 area). Notes: CC BY-NC-SA most restrictive of top-5 (MuST-C CC BY 4.0); NC+SA limits derivatives/reuse and code/model release - weigh against 'public and feasible' framing; feasibility 4.0 stays reasonable (open download). Tracking caveat (line 220): majority of 64,292 plants tracked only a few days due to continuous thinning - relevant if temporal re-identification is a planned use."
AUDIT_20260811215745685855,DSO-018,USER,2026-08-11 21:57:45,verified,data\raw\fulltext\doi_10.1109_iros58592.2024.10802820\54a0d5efd3ad8e1e\source.pdf,"SUPPORTED with license correction. Verified in paper.md (FTP_20260807T173121Z/doi_10.1109_iros58592.2024.10802820): 48 varieties (line 39, line 64); >3,000 plants (line 39); 186 annotated plants (lines 39, 88); 2,661 leaf instances (lines 39, 88); >10,000 keypoints (lines 39, 88); expert trait references from German Federal Plant Variety Office (line 90); clean train/val/test leaf split line 94 (train 1,782 leaves/128 plants, val 260/17, test 619/41, disjoint plant groups; field split Fig. 3). Hosting confirmed: bonnbeetclouds3d.ipb.uni-bonn.de live, download at bonndata doi:10.60507/FK2/34W30T, Codabench challenge 4470. KEY CORRECTION: registry license 'not specified' -> CC0-1.0 (bonndata License/Data Use Agreement badge, verified 2026-08-11; public domain, most permissive of the top-5 candidates vs MuST-C CC BY 4.0, OPPD CC BY-NC-SA 4.0, MaizeField3D CC BY-NC-4.0). FLAG: line 94 states labels provided for train and validation sets only - test-set labels appear withheld (challenge-style evaluation via Codabench); relevant if offline test evaluation is planned."
AUDIT_20260811220327694617,DT-006,USER,2026-08-11 22:03:27,verified,,"SUPPORTED. Deterministic verification 2026-08-11: registry 96 rows (only 'not specified' x4 intentional distinct datasets); scores 96 rows, ranks contiguous 1-96, total=sum all rows, sum of totals 1549.0. Merges confirmed via dataset_registry_dedup_audit.json: PLANesT-3D (arxiv.2407.21150 canonical, siu59756.2023.10223838 companion), TomatoWUR (dib.2025.111852 canonical, biosystemseng.2025.104147 companion). Re-scored entries confirmed at claimed ranks: Ara2012/Ara2013/Tobacco CVPPP rank 80 (13.0), WA multispectral weed rank 30 (18.0), Synthetic apple orchard rank 60 (15.5). NOTE: claim text says 'closed 190-paper universe'; current universe is 194 (4 IEEE papers recovered 2026-08-11) but none introduced new registry datasets, so all row/rank facts hold exactly; universe count is historical context. No corrections required."
AUDIT_20260811220544725480,DSO-019,USER,2026-08-11 22:05:44,verified,,"SUPPORTED (human-audited 2026-08-11). Deterministic verification against current 96-row dataset_opportunity_scores.csv: top-20 order+totals match exactly (allow for CSV display names with parenthetical expansions: MuST-C (Multi-Sensor...), OPPD (Open Plant Phenotype Database), Seedling RGB-depth dataset (DATA INRAE), IPB Sugar Beets 2016 (sugarbeets2016), Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes, TomatoMAP (Tomato Multi-Angle Multi-Pose), Moving Fields Weed Dataset (MFWD), Soybean MVSP2 spatiotemporal point-cloud dataset). Enumerated DSO items verify: MuST-C 24.5/1, MaizeField3D 21.5/3, OPPD 21.5/4, BonnBeetClouds3D 21.0/5, PhenoBench 21.0/6, Pheno4D 21.0/7, Two-Season-WeedDet8 20.5/9, Seedling RGB-depth 20.5/10, Soybean MVSP2 19.0/20. DSO-001/002/003/005 confirmed superseded in ledger (pre-refresh universes). CAVEATS (stale phrasing, substance unchanged): (1) 'DT-003..DT-006 verified' stale - DT-003 and DT-004 are superseded (ROSE-X CC0, earlier count-based supersession); DT-006 itself now supported. (2) 'DSO-006..DSO-018' range loose - DSO-008/010 rejected, DSO-013/014 superseded in later audits, but all enumerated items retain unchanged totals/ranks. (3) screening universe now 194 papers not 190; no registry rows affected. This claim gates experimental-design-gates candidate selection (top-20 approved)."
