claim_id,claim_text,scope,evidence_ids,evidence_locations,contradictory_evidence,strength,uncertainty,status,required_validation,reviewer,reviewed_at,notes
DT-003,"Several open-access agricultural CV datasets from batch 5 (WeedElec-AnnotatedDataset, FruitSeg30, ROSE-X, Latvian Crop-Weed, MuST-C) are CC-BY-4.0 licensed, providing clear reuse pathways for research.",Batch-5 dataset papers with CC-BY-4.0,doi:10.1002/aps3.11373; doi:10.1016/j.dib.2024.110821; doi:10.1186/s13007-020-00573-w; doi:10.1016/j.dib.2020.105833; doi:10.60507/fk2/ox9xtm,"full_text_decisions.csv ranks 84,85,89,95,91",,strong,low,superseded,human: verify licenses on repository pages,USER,2026-08-11 18:53:37,"VERIFIED against closed-universe 96-row scores (2026-08-08): Batch-5 evidence synthesis; HUMAN AUDIT SUPERSEDED by USER on 2026-08-11 18:53:37: HOLDS 4/5: WeedElec (Zenodo cc-by-4.0), FruitSeg30 (HF cc-by-4.0), MuST-C (DataCite SPDX cc-by-4.0), Latvian Crop-Weed (DIB CC BY article ships data) all CC BY 4.0. ROSE-X MIS-STATED: article is CC BY 4.0 but dataset falls under BMC default CC0 waiver (uabox.univ-angers.fr ownCloud archive, no credit line found). Registry row doi:10.1186/s13007-020-00573-w conflates article license with dataset license; needs correction event. Registry also shows WeedElec license 'not specified' (should be CC BY 4.0). Claim superseded as written; corrected claim should list the 4 CC BY 4.0 datasets and drop ROSE-X."
DSO-006,"Pheno4D is the highest-ranked newly introduced batch-6 3D dataset (21.0/25), driven by multi-temporal spatio-temporal structure, ~260M labeled points, semantic+instance labels, and public access with API",Pheno4D dataset (rank 34),doi:10.1371/journal.pone.0256340,FTS_aaf478680c0b206488c9; full_text_decisions.csv rank 34; outputs/dataset_registry.csv; outputs/dataset_opportunity_scores.csv,,moderate,medium,supported,human: verify dataset license and public access; confirm instance-label quality on the site,USER,2026-08-11 18:58:02,"VERIFIED against closed-universe 96-row scores (2026-08-08): Batch-6 evidence synthesis; HUMAN AUDIT VERIFIED by USER on 2026-08-11 18:58:02: Confirmed from Pheno4D site: 84 maize clouds (12 days) + 140 tomato clouds (20 days); labeled points 60M maize + 200M tomato = ~260M, temporally consistent labels; maize files carry 2 labels per point (semantic+instance), tomato 1; public download (Pheno4D.zip) + data-loader API (AIS-Bonn/data_loaders). Rank claim consistent with closed-universe 96-row scores (21.0, batch-6 top 3D). CAVEAT: site states NO license; required_validation item 'verify dataset license' NOT satisfied - license remains unconfirmed and must be resolved before any access/license manuscript claim. Instance-label quality per paper (PLOS ONE) not re-verified."
DSO-007,Two-Season-WeedDet8 is the top-ranked newly introduced batch-6 RGB dataset (20.5/25) because its two-season structure provides a built-in temporal domain-shift benchmark for cross-season weed detection.,Two-Season-WeedDet8 dataset (rank 38),doi:10.1016/j.ecoinf.2024.102546,FTS_be6e72f36411dccb2939; full_text_decisions.csv rank 38; outputs/dataset_registry.csv; outputs/dataset_opportunity_scores.csv,,moderate,medium,supported,human: confirm Zenodo license (CC-BY-NC-ND-4.0) permits intended reuse,USER,2026-08-11 19:02:43,"VERIFIED against closed-universe 96-row scores (2026-08-08): Batch-6 evidence synthesis; HUMAN AUDIT VERIFIED by USER on 2026-08-11 19:02:43: Claim CONFIRMED: ecoinf.2024.102546 S3.1 two-season 8-class weed dataset (2021/2022 seasons), 6,664 imgs/10,848 bboxes; explicit cross-season framing with up to 14.5% accuracy drops between in-season and cross-season testing; 20.5/25 rank 9 confirmed, top batch-6 RGB (AgriAdapt 18.5, TomatoWUR 18.5, Bean Soy 15.5, SoyCotton 14.0; Pheno4D 21.0 is 3D not RGB). LICENSE ERROR: actual Zenodo record 10762138 rev10 = CC BY-NC 4.0 (SPDX cc-by-nc-4.0), NOT CC-BY-NC-ND-4.0 as recorded in dataset_registry.csv and this claim's required_validation. No ND term -> derivatives/models permitted with attribution; only NC blocks commercial use. Registry cell needs deterministic correction event."
DSO-008,"AgriAdapt (rank 6) introduces a public low-cost UAV RGB dataset but has a material quality risk: the text states 643 images while the abstract states 747, an unresolved inconsistency.",AgriAdapt dataset (rank 6),doi:10.3390/electronics14204082,FTS_1bb855e38cdaaca7883d; full_text_decisions.csv rank 6; outputs/dataset_registry.csv,,weak,high,rejected,human: reconcile image count (643 vs 747) against the Roboflow repository,USER,2026-08-11 19:10:13,"VERIFIED against closed-universe 96-row scores (2026-08-08): Batch-6 evidence synthesis; HUMAN AUDIT REJECTED by USER on 2026-08-11 19:10:13: Claim NOT confirmed as written. (1) Direction inverted: abstract + S3 state 643 (322 Field1 + 321 Field2, internally consistent); intro/contributions/related work/conclusion state 747 (stale figure). (2) 'Unresolved inconsistency' is outdated: live Roboflow Universe page (2026-08-11) confirms 643 images, matching abstract/S3 and first-author LinkedIn. The error is a paper-internal typo in intro/contributions, not a dataset quality risk. Registry row already carries both counts with discrepancy flagged; should note repo confirms 643."
DSO-009,"3D Rice WBPH Damage (rank 41) is a novel 3D insect-damage dataset with a grouped pot-level test split, but request-only access makes it low-feasibility (2.0/5) for independent reproduction.",3D Rice WBPH Damage dataset (rank 41),doi:10.3390/agriculture16020215,FTS_0764f39cd1bb37750d37; full_text_decisions.csv rank 41; outputs/dataset_registry.csv; outputs/dataset_opportunity_scores.csv,,moderate,medium,supported,human: confirm data-on-request availability and license terms,USER,2026-08-11 19:15:47,"VERIFIED against closed-universe 96-row scores (2026-08-08): Batch-6 evidence synthesis; HUMAN AUDIT VERIFIED by USER on 2026-08-11 19:15:47: Confirmed: 3D Rice WBPH Damage is a novel 3D insect-damage dataset (point-level semantic labels) with grouped pot-level test split (test = final collection per pot, 45 pots, 174 point clouds). Access is request-only (Data Availability on request) with NO stated license terms for the data; article license CC-BY-4.0 does not extend to the data (mirrors ROSE-X CC0 pattern). Confirms low feasibility (2.0/5) for independent reproduction."
DSO-010,"Bean Soy dataset (rank 39) has an access-contract inconsistency: the abstract implies public availability while the Data Availability statement says on request, which lowers its feasibility score (2.5/5).",Bean Soy dataset (rank 39),doi:10.3390/rs16234394,FTS_a11a0b6d3c4c7c3c9219; full_text_decisions.csv rank 39; outputs/dataset_registry.csv; outputs/dataset_opportunity_scores.csv,,weak,high,rejected,human: verify actual public availability,USER,2026-08-11 19:27:06,"VERIFIED against closed-universe 96-row scores (2026-08-08): Batch-6 evidence synthesis; HUMAN AUDIT REJECTED by USER on 2026-08-11 19:27:06: Textual inconsistency CONFIRMED: abstract says 'making public the dataset' but Data Availability Statement says 'available on request from the first author'; no repository link in paper. However the claim's feasibility-lowering implication is REFUTED: public release verified at https://universe.roboflow.com/wwwdataset-jzoak/weed11-12dez22-6fev23-20m-2 - project name matches flight window (Dec 2022-Feb 2023) and 20 m height; filenames are Brazilian ddMonyy dates; classes exactly Weed/Bean/Soybean; version /19 = 3021 images = exact paper augmented count; License CC BY 4.0, public download. DAS just lacks the link. Feasibility score 2.5/5 understated; should be revisited upward."
MGA-008,"Across the expanded 87-paper method-gap matrix, calibration is absent in 79/87 (90.8%), same-sensor evaluation in 59/87 (67.8%), no code released in 50/87 (57.5%), and >=4 simultaneous gaps in 63/87 (72.4%).",All 87 method-gap-tagged papers,method_gap_matrix.csv,outputs/method_gap_matrix.csv (method_gap_merge.py output),,strong,low,superseded,human: confirm tag columns after merge,USER,2026-08-11 19:30:26,"Batch-6 MGA update (supersedes 67-paper basis in MGA-007; 87 papers tagged); HUMAN AUDIT SUPERSEDED by USER on 2026-08-11 19:30:26: SUPERSEDED on universe change, consistent with DSO-001/002/003/005: the 87-paper basis no longer matches the live method_gap_matrix.csv. Method-gap matrix re-run twice since this claim: MGA-009 (94 papers) then MGA-010 (190 papers, current closed universe, 2026-08-08). MGA-008's percentages (calibration 79/87, same-sensor 59/87, no code 50/87, >=4 gaps 63/87) apply only to the retired 87-paper universe. Tag-correctness spot-check deferred to MGA-010 (190-paper basis). No sampled PDFs reviewed."
DT-004,"Batch 6 is fully disposed: 15 of 20 papers finalized as include_core/include_supporting and 5 paywalled ranks (13, 23, 26, 32, 40) recorded as unresolved (FU1_FULLTEXT_UNAVAILABLE) with empty extraction_id after lawful acquisition attempts failed.","Full-text screening, batch 6",full_text_decisions.csv; FTA_20260731T121706Z/summary.csv,"data/curated/screening/full_text_decisions.csv ranks 6,11,13,14,17,23,25,26,28,29,30,31,32,33,34,35,38,39,40,41; outputs/fulltext/acquisition/FTA_20260731T121706Z/summary.csv",,strong,low,superseded,human: confirm the 5 paywalled papers cannot be lawfully acquired,USER,2026-08-11 19:40:44,"VERIFIED against closed-universe 96-row scores (2026-08-08): Batch-6 full-text completion; HUMAN AUDIT SUPERSEDED by USER on 2026-08-11 19:40:44: Recording of the 5 FU1 decisions was accurate at the time (2026-07-31 acquisition failed: rank 13 Wiley 403/failed; ranks 23/26/32/40 IEEE no_candidate). Premise 'cannot be lawfully acquired' now FAILS for 4/5: user obtained lawful local copies 2026-08-11 of ranks 23 (RPD), 26 (AgriSeg), 32 (RCNN/YOLO weed), 40 (YOLOv7 weed/crop) from Downloads. Only rank 13 (doi:10.1002/ps.70881, Wiley ASVLB-Net) remains unobtainable. The 4 IEEE unresolved rows (FTS_bf07ae30c5200c6c691d, FTS_2a62de017b4600a595b8, FTS_ed7c527d334232cf6fc2, FTS_f9493c5bc599494ab095) should be superseded by include decisions after corpus import + Docling processing + review."
DSO-011,"The Seedling RGB-depth dataset (rank 139) is the top-ranked newly introduced batch-7 dataset (20.5/25): a public RGB-depth time-lapse of seedling development across 3 crops with >700k plant annotations and a pot-level 80/10/10 split, enabling depth-modality and temporal-domain-shift experiments.",Seedling RGB-depth dataset (rank 139),doi:10.1186/s13007-025-01334-3,FTS_14de9157d8409d0cdb96; full_text_decisions.csv rank 139; outputs/dataset_registry.csv; outputs/dataset_opportunity_scores.csv,,moderate,medium,supported,"human: confirm DATA INRAE dataset license and download terms; reconcile >700k plant annotations vs 1,216 labelled time-lapses",USER,2026-08-11 20:25:32,"VERIFIED against closed-universe 96-row scores (2026-08-08): Batch-7 evidence synthesis; HUMAN AUDIT VERIFIED by USER on 2026-08-11 20:25:32: License VERIFIED: DATA INRAE record doi:10.57745/AMFJTK (visited 2026-08-11) - Etalab Open License 2.0 (SPDX etalab-2.0, CC-BY-2.0 compatible), public per-file download (15 files, ID-01..ID-10 trial zips 5.7-34.0 GB + xlsx/readme), no login/restricted files. Annotation reconciliation: NO contradiction - 1,216 labelled pot time-lapses = sequences (Table 2: 336+480+400); >700k = annotated pot frames within those sequences (Table 4 split: 972+122+122 = 1,216 time-lapses containing 608,089+76,870+77,147 = 762,106 pot frames each with per-pot growth-stage label). Claim elements confirmed: top-ranked batch-7 intro 20.5/25 (rank 10 overall), 3 crops, RGB-depth time-lapse, 11 trials 2022, pot-level 80/10/10 (paper line 58), depth-modality + temporal domain-shift (lines 60, 78). REGISTRY CORRECTION REQUIRED: license cell 'not specified (DATA INRAE...)' -> etalab-2.0 (open, CC-BY-2.0-compatible), public per-file download."
DSO-012,"The Soybean MVSP2 spatiotemporal point-cloud dataset (rank 149) is the top-ranked newly introduced batch-7 3D dataset (19.0/25): temporal 3D point clouds with point-wise stem/leaf and leaf-instance labels and a public code repository, limited by request-only data access (feasibility 2.5/5).",Soybean MVSP2 point-cloud dataset (rank 149),doi:10.34133/plantphenomics.0080,FTS_8e1e29cab85894959122; full_text_decisions.csv rank 149; outputs/dataset_registry.csv; outputs/dataset_opportunity_scores.csv,,moderate,medium,supported,human: confirm request-only availability and license terms,USER,2026-08-11 20:30:21,"VERIFIED against closed-universe 96-row scores (2026-08-08): Batch-7 evidence synthesis; HUMAN AUDIT VERIFIED by USER on 2026-08-11 20:30:21: Request-only data availability CONFIRMED: Data Availability section (paper.md lines 160-162) + Data Availability Statement (lines 168-170) state 'The data are freely available upon reasonable request.' No public data URL/DOI in the paper. Data license: none stated - matches registry 'not specified (available on request)'. Code repository public and live: https://github.com/jieyi-one/EFF-3DPSEG (verified 2026-08-11, 11 stars/2 forks/3 commits, contains lib/, models/, pointnet2/, train.py, pheno4d.sh, README.md) but NO LICENSE file (code public, license-unstated). Claim elements confirmed: top-ranked batch-7 3D point-cloud dataset (19.0/25, rank 20; only genuine point-cloud dataset among batch-7 siblings), temporal 3D point clouds (258 point clouds, 30 plants, May 6-27 2022, MVSP2 photogrammetry), point-wise stem/leaf + leaf-instance labels (145/258 annotated), feasibility 2.5/5 consistent. No registry changes needed."
DSO-013,"CN20 (rank 212) is a corn RGB-D crop/weed dataset with instance masks, bounding boxes, and stem locations in COCO format, but its public-availability claim is unverifiable because the paper provides no URL or DOI, limiting feasibility (2.5/5).",CN20 dataset (rank 212),doi:10.1109/iros47612.2022.9981304,FTS_86107136ed60e764d9c2; full_text_decisions.csv rank 212; outputs/dataset_registry.csv; outputs/dataset_opportunity_scores.csv,,weak,high,superseded,human: locate CN20 repository or confirm access terms,USER,2026-08-11 20:42:42,"VERIFIED against closed-universe 96-row scores (2026-08-08): Batch-7 evidence synthesis; HUMAN AUDIT SUPERSEDED by USER on 2026-08-11 20:42:42: SUPERSEDED as written, but feasibility concern survives with corrected reason. Paper-level claim ACCURATE: IROS 2022 paper text (paper.md lines 38, 105) says 'Release a new dataset... CN20' / 'a new publicly available corn dataset', no URL or DOI in the PDF. Availability now VERIFIABLE: AgRobotics page (agrobotics.uni-bonn.de/corn_2020_dataset/index.html) live HTTP 200 (2026-08-11) linking to https://uni-bonn.sciebo.de/s/HpUV7A1KofVop9u, but that sciebo share 404s today; Wayback CDX shows one successful capture 2024-04-20 rendering 'Download CN20.tar.gz (23.5 GB)' (share functional Apr 2024, since taken down/expired). PhenoRoam record 10f2b8b0-bb8a-4b1c-864c-060a5462dcb7 exists but is metadata-only (DATA: Not available). No license terms anywhere (project page, sciebo, PhenoRoam all silent). Verdict: 'unverifiable' no longer holds (located + was functional), so claim superseded; but feasibility 2.5/5 remains defensible with corrected rationale (primary download link stale as of 2026-08-11; no license) rather than 'unverifiable'."
DSO-014,"CottonWeedID15 (rank 150) is a public Kaggle RGB weed-classification dataset (5,187 images, 15 classes, two seasons) with high feasibility (4.5/5) but no stated license, a reuse-pathway risk for downstream publication.",CottonWeedID15 dataset (rank 150),doi:10.1016/j.compag.2022.107091,FTS_9ad93565f1aac789c53b; full_text_decisions.csv rank 150; outputs/dataset_registry.csv; outputs/dataset_opportunity_scores.csv,,weak,high,superseded,human: verify Kaggle license/terms for CottonWeedID15,USER,2026-08-11 20:46:41,"VERIFIED against closed-universe 96-row scores (2026-08-08): Batch-7 evidence synthesis; HUMAN AUDIT SUPERSEDED by USER on 2026-08-11 20:46:41: SUPERSEDED as written - license IS stated. Paper-level registry claim accurate: paper text (paper.md lines 26, 58, 60) gives 5,187 images / 15 classes / 2020-2021 seasons / public via Kaggle (kaggle.com/yuzhenlu/cottonweedid15) + code (github.com/Derekabc/CottonWeeds), but never mentions a license. Independent Kaggle API verification (2026-08-11): GET kaggle.com/api/v1/datasets/view/yuzhenlu/cottonweedid15 (302->200) returns licenseName 'Attribution-NonCommercial 4.0 International (CC BY-NC 4.0)'; owner YL2021, id 1634991, ~11.35 GB, 1,946 downloads; description confirms 5,187 RGB images 15 weeds 2020-2021 and links the paper DOI + Derekabc/CottonWeeds. Central assertion 'no stated license' is FALSE - record carries CC BY-NC 4.0 (non-commercial restriction). Defined reuse pathway, not an unstated one; 'reuse-pathway risk' framing in score note now outdated. Registry correction: license not specified (public on Kaggle) -> CC-BY-NC-4.0. Score note to be rewritten to reflect CC BY-NC 4.0 (non-commercial) restricts reuse. Feasibility 4.5/5 unchanged."
DSO-015,"GLDD (rank 334) is a request-only grape leaf disease detection dataset (4,449 original images augmented 14x to 62,286, expert bounding boxes) whose request-only access and standard RGB detection task limit its opportunity (13.0/25).","GLDD (Grape Leaf Disease Dataset), rank 334",doi:10.3389/fpls.2020.00751,FTS_8f7b35f7cdb6938fce72; full_text_decisions.csv rank 334; outputs/dataset_registry.csv; outputs/dataset_opportunity_scores.csv,,weak,medium,supported,human: confirm request-only availability,USER,2026-08-11 20:52:14,"VERIFIED against closed-universe 96-row scores (2026-08-08): Batch-7 evidence synthesis; HUMAN AUDIT VERIFIED by USER on 2026-08-11 20:52:14: Data Availability Statement CONFIRMED: paper (paper.md lines 158-160 and duplicate 178-180) 'The datasets generated for this study are available on request to the corresponding author.' Registry 'not specified (available on request)' accurate. No email/contact stated in the PDF - no @ matches; corresponding author identified only via the Frontiers page/affiliation, so the on-request pathway requires going through the journal page. Dataset figures all match: 4,449 original images (line 44), 14x augmentation (line 54) to 62,286 (lines 104/154); 4 disease classes (line 44); lab + Wei Jiani Chateau vineyard (lines 42, 132); 3:1:1 split (line 104); 81.1% mAP @ 15.01 FPS (lines 16/112/122); expert-annotated rectangular bboxes consistent with Faster R-CNN detection framing. Third-party Roboflow derivative (412 images, 2025-03-25, unclear provenance/license, not by GLDD authors) does not constitute an official public release; request-only status stands. All claim components verified: request-only access, 4,449->62,286 with 14x augmentation, expert boxes, low opportunity (13.0/25, feasibility 2.0). No registry changes needed."
DT-005,"Batch 7 is fully disposed: 7 of 20 ranks finalized as include_core/include_supporting (ranks 139, 149, 150, 155, 212, 268, 334) and 13 ranks recorded unresolved (FU1_FULLTEXT_UNAVAILABLE, empty extraction_id) after lawful acquisition failed (403 Forbidden, no_candidate, or XML-only coredata stub).","Full-text screening, batch 7",full_text_decisions.csv; FTA_20260803T005806Z/summary.csv,"data/curated/screening/full_text_decisions.csv ranks 52,62,78,103,105,106,109,114,117,139,145,149,150,155,184,188,212,268,278,334; outputs/fulltext/acquisition/FTA_20260803T005806Z/summary.csv",,strong,low,superseded,"human: confirm the 13 paywalled papers cannot be lawfully acquired, or accept user-supplied PDFs for later import",USER,2026-08-11 21:01:01,"VERIFIED against closed-universe 96-row scores (2026-08-08): Batch-7 full-text completion; HUMAN AUDIT SUPERSEDED by USER on 2026-08-11 21:01:01: SUPERSEDED as current-state claim (accurate as of its 2026-08-03 writing date; rank-184 recovery changes the count). Verified in full_text_decisions.csv: 7 include unchanged (139 FI01 FTE_56b8, 149 FI01;FI02 FTE_c282, 150 FI01 FTE_4e5e, 155 FS01 FTE_de00, 212 FI01 FTE_4dfc, 268 FI02 FTE_ee62, 334 FI01 FTE_b00b). Rank 184 TomatoMAP recovered: original FU1 FTS_b5e2c2ba51e32e54f383 superseded by include_core FI01 FTS_639cf9461904678ed830 (extraction FTE_779656a9f17c774ecc9e, reviewed 2026-08-08T13:13:43Z) from user-supplied PDF. Remaining 12 ranks confirmed active FU1 with empty extraction and no supersession rows: 52, 62, 78, 103, 105, 106, 109, 114, 117, 145, 188, 278. Batch-7 unresolved is now 12, not 13. 7-include list and lawful-acquisition-failure finding stand. Superseding entry appended to ledger."
MGA-009,"Across the expanded 94-paper method-gap matrix, calibration is absent (no) in 86/94 (91.5%), same-sensor-only evaluation in 64/94 (68.1%), no code released (not_available) in 55/94 (58.5%), and >=4 simultaneous gaps in 67/94 (71%).",All 94 method-gap-tagged papers (87 + 7 batch-7),method_gap_matrix.csv,outputs/method_gap_matrix.csv (method_gap_merge.py output),,strong,low,superseded,"human: confirm tag columns after merge; note legacy tag vocabulary (e.g., available/public, multiple/strong_simple) from batches 1-10",USER,2026-08-11 21:40:39,"Batch-7 MGA update (supersedes 87-paper basis in MGA-008; 94 papers tagged); HUMAN AUDIT SUPERSEDED by USER on 2026-08-11 21:40:39: SUPERSEDED - 94-paper universe is stale. Independent re-computation on outputs/method_gap_matrix.csv (2026-08-11): 194 rows, 0 empty cells in all 6 gap-dimension columns (only QA/metadata cols empty, not gap dims). Re-verified counts: calibration no 193/194 (99.5%); same_sensor 132/194 (68.0%); code not_available 111/194 (57.2%); >=4 gaps (5-dim GAP_DIMENSIONS) 157/194 (80.9%). Full distributions match: split random 74, unclear 106, grouped 14; baseline sota_only 86, none 62, strong_simple 35, unclear 11; cross_sensor same 132, cross_dataset 25, cross_sensor 6, both 1, unclear 30; code not_available 111, public 47, not_applicable 36; calibration no 193, yes 1. MGA-009 was correct for the retired 94-paper basis (2026-08-03); MGA-010 (190) already superseded it; live matrix now 194 after 4 recovered IEEE papers (ranks 23 RPD, 26 AgriSeg, 32, 40 - 3 core + 1 supporting, FTS_... supersession rows dated 2026-08-11). Superseding entry for 194-paper basis appended to ledger."
